A
A.B. =(=able body) | potocznie starszy marynarz
cable (‘kejbl) | lina, linka, /kabel el./, /kabel=182,5 m.= I/10 mili morskiej/ 
cage (kejd¿) | klatka
cake (kejk) | osad i³owy z p³uczki na œcianie otworu wiertniczego, /zlepiaæ siê/
cake thickness (kejk ‘tyknes) | gruboœæ osadu i³owego
calcareous (‘kalkeres) | wapienny
calcareous clay (‘kalkeres klej) | margiel
calcareous shale (‘kalkeres szejl) | ³upek marglisty
calciferous sandstone | piaskowiec wapnisty
calcite | kalcyt
calcium =(=Ca) | wapñ
calcium carbonate | wêglan wapnia
calcium chloride (kalcjum chlorajd) | chlorek wapnia
calcium hydroxide | wodorotlenek wapniowy
calcium sulphate | siarczan wapnia
calculation (kalkju’lejszn) | liczenie, obliczanie
caliper log=(=calliper log) | kawemomierz
caliper=(=calipers, callipers) | macki do pomiaru œrednic
cali (kol) | wo³aæ, wywo³ywaæ, wywo³anie, /po³¹czenie telefoniczne/
calm sea | morze spokojne (cisza wg skali Beauforta)
cam | wodzik, krzywka
cambrian | kambryjski
Cambrium=(=Cambrian) | kambr
camp (kemp) | obóz (osiedle)
camp boss (kemp bos) | kierownik obozu (kampu-hotelu robotniczego) 
cancel (‘kansel) | anulowaæ, skreœliæ, uniewa¿niaæ, skasowaæ 
cancellation | skreœlenie (anulowanie), uniewa¿nienie, skasowanie, odwo³anie 
canteen (kan’tin) | bufet, sto³ówka, kantyna 
cantilever mast | maszt sk³adany (np. hydraulicznie)
cantilever jackup | platforma wiertnicza z wie¿¹ wysuwan¹ poza kad³ub/ ponton 
cantilever platform | platforma wiertnicza z wie¿¹ wysuwan¹ poza kad³ub (=jw.) 
cantilever (kantilewe) | wspornik, wspornikowy, /wolnonoœny/ 
cap (kep) | daszek, ko³pak
capacity (ke’pasyti) | wydajnoœæ, pojemnoœæ, kubatura, zdolnoœæ przepustowa 
capstan | kabestan, przyci¹garka bêbnowa 
captain (‘kaptyn) | kapitan
carbon brush | szczotka wêglowa (przy silnikach elektrycznych) 
carbon dioxide | dwutlenek wêgla 
carbon monoxide | tlenek wêgla 
carbonate rock | ska³a wêglanowa


carbonic acid | kwas wêglowy 
Carboniferous | karbon
carboxymethyl cellulose=(=CMC) | karboksymetyloceluloze-KMC
Cardan shaft | wa³ podwójnieprzegubowy (wa³ Kardana)
careful=(=cautious) | ostro¿ny
carefully=(=cautiously) | ostro¿nie
carelessness (‘kelesnes) | nieostro¿noœæ, niedba³oœæ
cargo hook | hak ³adunkowy na dŸwigu
cargo (‘kagou) | ³adunek, fracht
cargo ship (‘kagou szyp) | statek handlowy
carpenter | cieœla, stolarz ogólny do wszystkiego
carrier (‘kerie) | uchwyt, transporter, noœnik
carry (‘keri) | nieœæ, przenosiæ, przewoziæ
carry out (‘keri aut) | wykonaæ czynnoœæ, zadanie, plan itp.
cartridge (‘katryd¿) | nabój, ³adunek, wk³adka, wk³ad (np. filtra, gaœnicy itp.)
cased hole (kejst houl) | otwór wiertniczy kompletnie zarurowany
cash (kesz) | gotówka, kasa
cash advance | zaliczka gotówkowa
casing (‘kejsing) | rury ok³adzinowe, os³ona, obudowa
casing & cementing job | rurowanie i cementowanie rur ok³adzinowych
casing centralizer (‘kejsing sentre’lajze) | centralizator rur ok³adzinowych
casing clamps | œciski do rur ok³adzinowych
casing clearance | przeœwit miêdzy rurami a œcian¹ otworu
casing collapse | zgniecenie rur ok³adzinowych
casing collar | mufa rur ok³adzinowych
casing coupling (‘kejsing ‘kapling) | z³¹czka rur ok³adzinowych
casing dope (‘kejsing doup) | smar do rur ok³adzinowych
casing elevator (‘kejsing ele’wejte) | elewator do rur ok³adzinowych
casing float | zawór zwrotny rur ok³adzinowych (zawór p³ywaj¹cy)
casing float collar (‘kejsing flout ‘kole) | ³¹cznik z zaworem zwrotnym (p³ywaj¹cym)
wstawiany zazwyczaj miêdzy 2-g¹ a 3-ci¹rurê ok³adzinow¹
casing hanger (‘kejsing ‘henge) =(=casing slips) | kliny rur ok³adzinowych w wiêŸbie 
casing head pressure | ciœnienie g³owicowe 
casing head (‘kejsing hed) | wiêŸba rurowa
casing power tong (‘kejsing paue tong) | klucz hydrauliczny do krêcenia rur
casing pressure | ciœnienie w przestrzeni miêdzyrurowej
casing pressure gauge (‘kejsing ‘presze gejd¿) | manometr ciœnienia w rurach
casing program | projekt rurowania otworu wiertniczego
casing protector (‘kejsing pro’tekte) | ochraniacz czopów rur ok³adzinowych
casing rabbit (‘kejsing ‘rebyt) | szablon do rur ok³adzinowych
casing roller | przyrz¹d do prostowania wgniecionych rur
casing scraper (‘kejsing ‘skrejpe) | skrobak do rur ok³adzinowych
casing shoe (‘kejsing szu) | but rur ok³adzinowych
casing slips (‘kejsing slyps) | kliny do rur ok³adzinowych
casing spear (‘kejsing spir) | chwytak do rur od wewn¹trz (rak do rur)
casing spiders (‘kejsing spajdez) | szpajdery klinowe rur ok³adzinowych
casing string | kolumna rur ok³adzinowych
casing tally (‘kejsing ‘teli) | metryka zapuszczanych rur do otworu


casing tester =(=cup tester) | urz¹dŸ, do badania szczel. rur ok³adzinowych
casing tools (kejsing tuls) | narzêdzia do zapuszczania rur ok³adzinowych (ogólnie)
casings =(=csg.) | rury ok³adzinowe
casting | odlewanie, odlew
cast iron (kast ‘aj en) | ¿eliwo, surówka
cast steel (kast stil) | lana stal
casualty (‘ke¿uelti) | nieszczêœliwy wypadek, ofiara wypadku, ranny 
cat line drum (ket ³ajn dram) | bêbenek pomocniczy 
cat line (ket ³ajn) | lina bêbenka pomocniczego wyci¹gu wiertniczego 
catch (kecz) | chwytaæ , ³apaæ, /zaczep, zatrzask, zapadka/ 
catcher (kecze) | chwytacz, urywak (np. rdzenia), pu³apka 
caterer | dostawca ¿ywnoœci
catering staff | personel kuchenny na kampie (pomocniczy, sprz¹taj¹cy)
catering (‘kejtering) | us³ugiwanie (sprz¹tanie), zaopatrywanie w ¿ywnoœæ, obs³uga
cathead | t³ok hydrauliczny do œcinania/ rozcinania po³¹czeñ z wysokim momentem
catwalk (‘ketlok) | pomost roboczy miêdzy rampami (poœlizg)
catwork | bêbenek pomocniczy (cierny) wyci¹gu wiertniczego
caustic soda | soda kaustyczna
caution sign | znak ostrzegawczy
cave (kejw)=(=cavity, cavern) | kawerna, obwa³, /jaskinia, grota/
cavernous | kawemisty, skawernowany
caving (‘kejwing) | sypanie w otworze, obsypanie otworu
cavings (‘kejwingz) | urobek pochodz¹cy z sypania otworu
cavity (‘kewyti)=(=cavern) | kawerna, szczelina, wnêka
cefferdam | keson, przedzia³ izolacyjny
cellar (‘sele) | piwnica, kopanka, bodnia
cellar deck (‘sele dek) | pok³ad wy¿szy platformy wiertniczej (nad slotem) 
cellar pit (‘sele pyt) | bodnia
cement accelerator=(-accelerator) | przyspieszacz wi¹zania cementu 
cement (si’ment) | cement, /klej, spoiwo/ 
cementation | cementowanie rur ok³adzinowych
Cement Bond Log=(-CBL) | profilowanie skutecznoœci zacementowania rur 
cement-cut mud | p³uczka ska¿ona cementem
cementing barge | barka cementacyjna (dla potrzeb platformy wiertniczej)
cementing head (si’mentmg head) | g³owica cementacyjna
cementing plug (si’menting plag) | klocek cementacyjny
cementing plug lower | dolny klocek cementacyjny
cementing plug upper | górny klocek cementacyjny
cementing unit | agregat do cementowania  | (cementarka)
cement plug (si’ment plag) | korek cementowy
cement retarder | opóŸniacz wi¹zania zaczynu cementowego
cement setting | wi¹zanie cementu
cement silo (si’ment sajlou) | silos cementowy
cement slurry (si’ment ‘siary) | zaczyn cementowy, /zaprawa cementowa/ 
cement top | strop cementu w otworze
center-latch elevator | elewator z centraln¹ zapadk¹ (np. do przewodu)
central nozzle (‘sentral ‘nozl)' dysza centralna œwidra
centralizer (sentre’lajze) | centralizator (np. do rur ok³adzinowych)


centre of mass=(=centre of inertia) | œrodek masy, œrodek bezw³adnoœci
centre of suspension | œrodek (punkt) zawieszenia
centre of symmetry | œrodek symetrii
centre to centre | od osi do osi (odleg³oœæ)
centrc=(-center) | œrodek, /centrum, oœrodek/
centre punch | punktak
centrifugal force | si³a odœrodkowa
centrifugal pump=(=centrifuge) | pompa odœrodkowa, centryfuga, wirówka 
certificate of class | œwiadectwo klasy (np. platformy, statku) 
certificate of competency | œwiadectwo kwalifikacyjne 
certificate of health | œwiadectwo zdrowia
certificate of proficiency | œwiadectwo (dyplom) ukoñczenia kursu 
certificate | œwiadectwo, protokó³, metryka, zaœwiadczenie, atest 
chain (czejn) | ³añcuch
chain box (czejn boks) | skrzynia ³añcuchowa (napêdowa, przek³adniowa) 
chain locker (czejn ‘loke) | komora ³añcuchowa
chain of competency (czejn of kom’pitensi) | zale¿noœæ (droga) s³u¿bowa 
chain tong (czejn tong)=(=chain spanner) | klucz ³añcuszkowy do rur 
chalk (czok) | kreda 
chamber | komora
change gear (czeñd¿ ‘gie) | zmiana biegu, zmieñ bieg!
channelling | powstawanie kana³ów w p³aszczu cementowym
charge (czadŸ) | obci¹¿enie, ³adunek, /obci¹¿yæ (kosztami)/, /policzyæ (za coœ)/
charging | ³adowanie np. akumulatorów, nape³nianie, za³adunek
charging pump | pompa podaj¹ca
chart (czat) | diagram, karta, tabela , mapa, wykres, tablica
cheaper brand=(=inferior quality) | gorszy gatunek
cheater | przed³u¿ka ramienia klucza (rura przed³u¿aj¹ca ramiê)
check (czek) | sprawdziæ (coœ), kontrola, /ogranicznik ruchu/, /wstrzymaæ/
check list | wykaz czynnoœci kontrolnych (np. przed rurowaniem)
check nut | przeciwnakrêtka
check trip (czek tryp) | marsz kontrolny przewodu wiertniczego (np. do buta)
check va)ve=(=NRV, BPV) | zawór zwrotny
cheek | szczêka, imak, szczêka imad³a
chemicals (‘kemykalz) | œrodki chemiczne, chemikalia
chert | ska³y krzemionkowe, rogowiec
chevron seal | uszczelnienie daszkowe
chief engineer (czif endzi’nie) | in¿ynier (g³ówny), starszy mechanik
chief (czif) | szef (np. mechanik (g³ówny))
chip | okruch skalny, od³amek, wiór
chisel pczizl) | przecinak, d³uto
chloride (‘klorajd) | chlorek
chock | podk³adka klinowa, klin
choke | gardziel, przewê¿enie, /d³awik/
choke (czouk) | zwê¿ka na manifoldzie, /zatykaæ rurê/
choked (czoukt) | niedro¿ny, przytkany np. przewód, dysza œwidra itp.
choke Jine (czouk ³ajn) | odprowadzenie z prewentera do manifoldu
chopper (‘czope) | helikopter, œmig³owiec (potocznie)


choppy sea | ma³a fala, fala zbita
Christmas tree=(=x-mass tree) | g³owica eksploatacyjna
circlip | pierœcieñ zabezpieczaj¹cy sprê¿ynuj¹cy
circuit breaker (sekit brejke) | elektryczny wy³¹cznik (automatyczny)
circuit (‘sekyt) | obwód, uk³ad elektryczny, /objazd drogowy/
circular ring (‘sekjule ring) | pierœcieñ okr¹g³y
circulating head (serkju’lejting hed) | g³owi czka cyrkulacyjna, huczek 
circulation (sekju’lejszyn) | cyrkulacja
circulation bottom up for sample (sekju’lejszyn ‘botm ap fo ‘sampl) | cyrkulacja
w celu wyniesienia próbek ze spodu otworu
circulation loss (serkju’lejszen los) | strata cyrkulacji
circulation pressure (serkju’lejszen ‘presze) | ciœnienie cyrkulacji
circulation rate | wydatek pompy (liczba skoków)
circulation sub | ³¹cznik cyrkulacyjny
civil law | prawo cywilne
claim | skarga, /dzia³ka górnicza/, /koncesja naftowa/, /reklamacja, roszczenie/
claimholder | posiadacz koncesji
clamp (klemp) | œcisk, zakucie, zacisk, docisk
clampon protector | ochraniacz gumowy (odpinalny) czopa rur ok³adzinowych
classification society | towarzystwo klasyfikacyjne
clay (klej) | i³y, glina
clay band (klej bend) | wk³adka ilasta
clay binder (klej bainde) | lepiszcze ilaste
clay shale=(=clay siatê) | i³o³upek (³upek ilasty)
clay swelling (klej ‘sueling) | i³y pêczniej¹ce
clean (klin) | wyczyœciæ, sprz¹taæ, oczyszczaæ, czysty
clean out (klin aut) | oczyszczanie (np. dna otworu z urobku)
cleaner=(=cleanser)' œrodek czyszcz¹cy
cleaning port | w³az do czyszczenia
cleaning rag=(=rag) | czyœciwo, szmata
cleaning-up work | prace (roboty) porz¹dkowe
elear (‘klie) | klarowny, przezroczysty, wyraŸny, /zrozumia³y/
clearance (‘klierens)=(=back³ash, play, shake) | przeœwit, luz, odstêp, szczelina
clear away | uprz¹tn¹æ, usun¹æ
cleavable | lupliwy
cleavage=(=schistosity, foliation) | ³upliwoœæ ska³y/ minera³u 
climbing belt=(=life belt, safety belt) | pas bezpieczeñstwa 
clippers (‘kiypez)=(=clipper) | potocznie karabiñczyk 
cloakroom=(=checkroom) | szatnia
clock (klok) | zegar, czasomierz, czujnik zegarowy, licznik zegarowy
close (klouz) | zamkn¹æ, zamykaæ, zaœlepiaæ (otwór)
closed circuit-(=closed cycle) | obieg zamkniêty
closed loop | pêtla zamkniêta
closure=(=antykline) | antyklina
clump=(-clunch) | ³upek ilasty, i³o³upek
clutch (klacz) | sprzêg³o(np. wa³u wyci¹gu), sprzêg³o w³¹czalne w ruchu 
CMT (si-em-ti)=(=cement) (si’ment) | cement 
CO2 extinguisher | gaœnica CO2 (œniegowa)


coagulation | koagulacja (œcinanie siê p³uczki wiertniczej) 
coal | wêgiel kamienny
coarse control (kos ken’troul) | .sterowanie zgrabne, regulacja zgrubna
coarse file (kos faji) | pilnik zdzierak
coarse sand (kos send) | piasek gruboziarnisty
coast (koust) | wybrze¿e, brzeg morski
coastal current | pr¹d przybrze¿ny
coastal waters | wody przybrze¿ne
coastguard | stra¿ przybrze¿na
code of construction | przepisy konstrukcyjne
coded welder=(=certified welder) | spawacz z uprawnieniami
coefficient | wspó³czynnik
coffee time/ tea time | czas na kawê/ czas na herbatê (krótka przerwa w pracy)
cofferdam | przedzia³ izolacyjny
cog | wystêp, palec
coil | spirala, cewka, nawijaæ
collapse (ko’laps) | zgniecenie (np. rur ok³adzinowych), /zawalenie siê/
collapse pressure | ciœnienie zgniataj¹ce niszcz¹ce (zewnêtrzne)
collapse strength | wytrzyma³oœæ na zgniatanie (na zgniecenie)
collar (?kole) | ko³nierz, pierœcieñ, /mufa/
collar locator=(=CCL) | mufolokator (pomiar geofizyczny)
collect | zbieraæ, gromadziæ (np. informacje), pobieraæ
collector | kolektor, rura zbiorcza, zbieracz
collet | pierœcieñ zaciskowy
color=(=colour) | kolor, barwa, zabarwienie, /farba, barwnik, pigment/ 
combustible | palny, zapalny, substancja palna, materia³ ³atwopalny 
coroma=(=decimal point, point) | przecinek 
compact rock | ska³a lita
Company Man | przedstawiciel Operatora na urz¹dzeniu nadzoruj¹cy prace
company (‘kampeni) | towarzystwo, spó³ka
comparable (‘komperebl) | porównywalny
comparative | porównawczy
compass (‘kampes) | kompas, busola, /cyrkiel/
competition | konkurencja (konkurs)
complaint=(=claim) | skarga, za¿alenie
complete (kem’plit) | koñczyæ (np. etap prac), uzupe³niaæ, /kompletny, ca³kowity/ 
completion | zag³owiczenie odwiertu (prace zakoñczeniowe), /uzupe³nienie/ 
component | czêœæ sk³adowa, sk³adnik
compound | zwi¹zek, mieszanka (np. smar do przewodu, rur, itp.), zespó³
compressed gas | gaz sprê¿ony
compressibility | œciœliwoœæ
compressing stress | naprê¿enie œciskaj¹ce
compression strength | wytrzyma³oœæ na œciskanie
compressor (kem’prese) | kompresor
compulsory insurance | ubezpieczenie obowi¹zkowe
compute (kenrpjut) | liczyæ, obliczaæ, wyliczaæ
concrete (‘konkrit) | beton, betonowy, betonowaæ
concrete foundation | betonowe fundamenty


concrete platform | platforma betonowa (np. wiertnicza, produkcyjna itp.)
condition (ken’dyszn) | warunek, stan
conditioning | kondycjonowanie (np. obróbka p³uczki)
conduct | prowadziæ (np. zajêcia, æwiczenia), przewodziæ (np. pr¹d elektryczny) 
conductor (ken’dakte) | kolumna wstêpna, blaszanka 
cone (koun) | sto¿ek, /gryz œwidra potocznie/ 
cone bearing | ³o¿ysko sto¿kowe
cone of depression=(=cone of influence) | lej depresyjny 
confidential | tajny, poufny
connecting box=(=connection-box) | elektryczna skrzynka rozdzielcza 
connection (ke’nekszn) | po³¹czenie, z³¹cze, /dodawanie kawa³ka lub pasa/ 
connection cord | elektryczny sznur po³¹czeniowy 
connector | z³¹czka
console | konsola, pulpit sterowniczy (np. wiertacza) 
constant pressure | ciœnienie sta³e (niezmienne) 
construction (ken’strakszn) | konstrukcja, budowa 
consume (ken’sjum) | zu¿ywaæ, rozchodowaæ
contaminant (ken’taminant) | substancja zanieczyszczaj¹ca (ska¿aj¹ca)
contamination (kontami’nejszn) | zanieczyszczenie, /p³uczka ska¿ona/
continuity | ci¹g³oœæ (np. z³o¿a, kontraktu, pracy itp.)
contract (‘kontrakt) | kontrakt, umowa
contract award | wygranie przetargu
contract depth | g³êbokoœæ otworu wg umowy
contract drilling | Wiercenie na zlecenie
contract of employment | umowa o pracê
contractor | przedsiêbiorca, wykonawca zleconych prac, kontrahent 
control board=(=control pulpit) | pulpit sterowniczy 
control knob | ga³ka sterownicza
control plug (ken’troul plag) | klocek kontrolny do rdzeniówki (tzw. œwiadek)
control room | sterownia podnoszenia/ opuszczania nóg platformy wiertniczej
control unit (ken’troul ‘junit) | zespó³ sterowania
control valve | zawór regulacyjny
conventional mud | p³uczka bentonitowo-wodna
conversion table | tabela przeliczeniowa (np. jednostek)
cook (kuk) | kucharz
cooling system (‘kuiing ‘system) | uk³ad (system) ch³odzenia 
cooling down=(=rapid cooling) | oziêbianie
cooperation (kouope’rejszn) | wspó³dzia³anie, wspó³praca, kooperacja
coordinate axis | oœ wspó³rzêdnych
coordinate | wspó³rzêdna
coordination (kouodi’nejszn) | koordynacja
copper=(=Cu) | miedŸ
cordage | olinowanie (lin¹ wielokr¹¿kow¹), liny takielunku
cord (kod) | sznur, przewód elektryczny
cordless (‘kodlis) | bezprzewodowy
core | „dusza” liny, rdzeñ
core barrel (ko ‘barel) | aparat rdzeniowy
core barrel tube | pochwa rdzeniówki


core bit =(=core head)(ko byt, ko hed) | koronka rdzeniowa 
core box | skrzynka na rdzenie 
core breaker | urywak rdzenia
core catcher (ko ‘kecze) | chwytacz/ urywak rdzenia
core drilling=(=:coring} | rdzeniowanie
core extractor | urz¹dzenie do wypychania rdzenia
core interval | intema³ rdzeniowania
core pusher | wypychacz rdzenia
core (ko) | rdzeñ
core recovery (ko ri’kaweri) | uzysk rdzenia 
core repository | magazyn na rdzenie
core wedging (ko ‘wed¿ing) | zaklinowanie rdzenia w pochwie 
coring (‘koring) | rdzeniowanie
correct (ke’rekt) | korygowaæ, wnosiæ poprawkê, poprawnie, prawid³owo 
correlation | wspó³zale¿noœæ, wzajemnoœæ, korelacja 
corrosion ( ke’rou¿n)~ korozja
corrosion cup | "zaœlepka" ochronna nakrêcana na doln¹ czêœæ MLS lub MLC
corrosion inhibitor | œrodek antykorozyjny
corrosion protection | ochrona oprzed korozj¹
corrosion resistant steel | stal nierdzewna
corrosive (ke’rousyw) | ¿r¹cy, czynnik korozyjny
